,experimen_no,algorithm,query_strategy,number_of_instances,f1
0,state=0/foldid=0,random-forest,,383,0.4486441062314109
1,state=0/foldid=1,random-forest,,383,0.3958206124353077
2,state=0/foldid=2,random-forest,,382,0.45001570727044254
3,state=1/foldid=0,random-forest,,383,0.3938296745121501
4,state=1/foldid=1,random-forest,,383,0.419873707443887
5,state=1/foldid=2,random-forest,,382,0.4778826068602822
6,state=2/foldid=0,random-forest,,383,0.45514367014121576
7,state=2/foldid=1,random-forest,,383,0.43698118376457273
8,state=2/foldid=2,random-forest,,382,0.5309601259787164
9,state=3/foldid=0,random-forest,,383,0.4548617876462622
10,state=3/foldid=1,random-forest,,383,0.44449277574277585
11,state=3/foldid=2,random-forest,,382,0.5322739280634018
12,state=4/foldid=0,random-forest,,383,0.509636911168517
13,state=4/foldid=1,random-forest,,383,0.4418280325411337
14,state=4/foldid=2,random-forest,,382,0.4617100187526095
15,state=5/foldid=0,random-forest,,383,0.43302027714213076
16,state=5/foldid=1,random-forest,,383,0.49747019318384766
17,state=5/foldid=2,random-forest,,382,0.46250092264526915
18,state=6/foldid=0,random-forest,,383,0.4895751400137365
19,state=6/foldid=1,random-forest,,383,0.45448243234522806
20,state=6/foldid=2,random-forest,,382,0.41789229045898707
21,state=7/foldid=0,random-forest,,383,0.4302325002566743
22,state=7/foldid=1,random-forest,,383,0.44693230570165143
23,state=7/foldid=2,random-forest,,382,0.4013126609622614
24,state=8/foldid=0,random-forest,,383,0.4204274334921389
25,state=8/foldid=1,random-forest,,383,0.43252804807181994
26,state=8/foldid=2,random-forest,,382,0.5400809109435097
27,state=9/foldid=0,random-forest,,383,0.4716357719888904
28,state=9/foldid=1,random-forest,,383,0.4061956581606667
29,state=9/foldid=2,random-forest,,382,0.46871955885242184
